        gamma =        1.000000000000000
        Omega =       15.707963267948966
           N =        80
        kappa =        0.290625000000000
          w0a =        0.000000000000000
           dt =        0.001000000000000
     Max tau2 =       10.000000000000000
  
                halfwidth                       dw                    kappa
        1.000000000000000        0.012500000000000        0.031250000000000
        2.000000000000000        0.025000000000000        0.062500000000000
        3.000000000000000        0.037500000000000        0.093750000000000
        4.000000000000000        0.050000000000000        0.125000000000000
        5.000000000000000        0.062500000000000        0.156250000000000
        6.000000000000000        0.075000000000000        0.187500000000000
        7.000000000000000        0.087500000000000        0.218750000000000
        8.000000000000000        0.100000000000000        0.250000000000000
        9.000000000000000        0.112500000000000        0.281250000000000
       10.000000000000000        0.125000000000000        0.312500000000000
       11.000000000000000        0.137500000000000        0.343750000000000
       12.000000000000000        0.150000000000000        0.375000000000000
       13.000000000000000        0.162500000000000        0.406250000000000
       14.000000000000000        0.175000000000000        0.437500000000000
       15.000000000000000        0.187500000000000        0.468750000000000
       16.000000000000000        0.200000000000000        0.500000000000000
