        gamma =        1.000000000000000
        Omega =       15.707963267948966
           N =         0
        kappa =        9.300000000000001
          w0a =        0.000000000000000
           dt =        0.001000000000000
     Max tau2 =       10.000000000000000
  
                halfwidth                       dw                    kappa
        1.000000000000000        0.000000000000000        1.000000000000000
        2.000000000000000        0.000000000000000        2.000000000000000
        3.000000000000000        0.000000000000000        3.000000000000000
        4.000000000000000        0.000000000000000        4.000000000000000
        5.000000000000000        0.000000000000000        5.000000000000000
        6.000000000000000        0.000000000000000        6.000000000000000
        7.000000000000000        0.000000000000000        7.000000000000000
        8.000000000000000        0.000000000000000        8.000000000000000
        9.000000000000000        0.000000000000000        9.000000000000000
       10.000000000000000        0.000000000000000       10.000000000000000
       11.000000000000000        0.000000000000000       11.000000000000000
       12.000000000000000        0.000000000000000       12.000000000000000
       13.000000000000000        0.000000000000000       13.000000000000000
       14.000000000000000        0.000000000000000       14.000000000000000
       15.000000000000000        0.000000000000000       15.000000000000000
       16.000000000000000        0.000000000000000       16.000000000000000
