           halfwidth 	                   dw 	                kappa 	           Difference 
   1.000000000000000 	    0.012500000000000 	    0.031250000000000 	    0.085096697724892 
   1.050000000000000 	    0.013125000000000 	    0.032812500000000 	    0.078070714397716 
   1.100000000000000 	    0.013750000000000 	    0.034375000000000 	    0.071886146387143 
   1.150000000000000 	    0.014375000000000 	    0.035937500000000 	    0.066409571899938 
   1.200000000000000 	    0.015000000000000 	    0.037500000000000 	    0.061535623516752 
   1.250000000000000 	    0.015625000000000 	    0.039062500000000 	    0.057178393054772 
   1.300000000000000 	    0.016250000000000 	    0.040625000000000 	    0.053267092466000 
   1.350000000000000 	    0.016875000000000 	    0.042187500000000 	    0.049751153330562 
   1.400000000000000 	    0.017500000000000 	    0.043750000000000 	    0.046583348937945 
   1.450000000000000 	    0.018125000000000 	    0.045312500000000 	    0.043715650726191 
   1.500000000000000 	    0.018750000000000 	    0.046875000000000 	    0.041114270061155 
   1.550000000000000 	    0.019375000000000 	    0.048437500000000 	    0.038748482346524 
   1.600000000000000 	    0.020000000000000 	    0.050000000000000 	    0.036590003631491 
   1.650000000000000 	    0.020625000000000 	    0.051562500000000 	    0.034613768594839 
   1.700000000000000 	    0.021250000000000 	    0.053125000000000 	    0.032798134890821 
   1.750000000000000 	    0.021875000000000 	    0.054687500000000 	    0.031124787814132 
   1.800000000000000 	    0.022500000000000 	    0.056250000000000 	    0.029578314744383 
   1.850000000000000 	    0.023125000000000 	    0.057812500000000 	    0.028145660241059 
   1.900000000000000 	    0.023750000000000 	    0.059375000000000 	    0.026816772848423 
   1.950000000000000 	    0.024375000000000 	    0.060937500000000 	    0.025584639156755 
   2.000000000000000 	    0.025000000000000 	    0.062500000000000 	    0.024439646950378 
   2.050000000000000 	    0.025625000000000 	    0.064062500000000 	    0.023372911173555 
   2.100000000000000 	    0.026250000000000 	    0.065625000000000 	    0.022376574239769 
   2.150000000000000 	    0.026875000000000 	    0.067187500000000 	    0.021444871708975 
   2.200000000000000 	    0.027500000000000 	    0.068750000000000 	    0.020574093667395 
   2.250000000000000 	    0.028125000000000 	    0.070312500000000 	    0.019758914060909 
   2.300000000000000 	    0.028750000000000 	    0.071875000000000 	    0.018994295567701 
   2.350000000000000 	    0.029375000000000 	    0.073437500000000 	    0.018275611330225 
   2.400000000000000 	    0.030000000000000 	    0.075000000000000 	    0.017598712393479 
   2.450000000000000 	    0.030625000000000 	    0.076562500000000 	    0.016960023812583 
   2.500000000000000 	    0.031250000000000 	    0.078125000000000 	    0.016356666916953 
   2.550000000000000 	    0.031875000000000 	    0.079687500000000 	    0.015787531593735 
   2.600000000000000 	    0.032500000000000 	    0.081250000000000 	    0.015250257580470 
   2.650000000000000 	    0.033125000000000 	    0.082812500000000 	    0.014742119602750 
   2.700000000000000 	    0.033750000000000 	    0.084375000000000 	    0.014260603140582 
   2.750000000000000 	    0.034375000000000 	    0.085937500000000 	    0.013803532502350 
   2.800000000000000 	    0.035000000000000 	    0.087500000000000 	    0.013369383132119 
   2.850000000000000 	    0.035625000000000 	    0.089062500000000 	    0.012957736159647 
   2.900000000000000 	    0.036250000000000 	    0.090625000000000 	    0.012567103161617 
   2.950000000000000 	    0.036875000000000 	    0.092187500000000 	    0.012195885071949 
   3.000000000000000 	    0.037500000000000 	    0.093750000000000 	    0.011842542963419 
   3.050000000000000 	    0.038125000000000 	    0.095312500000000 	    0.011505652448324 
   3.100000000000000 	    0.038750000000000 	    0.096875000000000 	    0.011183924420394 
   3.150000000000000 	    0.039375000000000 	    0.098437500000000 	    0.010876759245089 
   3.200000000000000 	    0.040000000000000 	    0.100000000000000 	    0.010583932326413 
   3.250000000000000 	    0.040625000000000 	    0.101562500000000 	    0.010304523744284 
   3.300000000000000 	    0.041250000000000 	    0.103125000000000 	    0.010037632936705 
   3.350000000000000 	    0.041875000000000 	    0.104687500000000 	    0.009782266313513 
   3.400000000000000 	    0.042500000000000 	    0.106250000000000 	    0.009537498542310 
   3.450000000000000 	    0.043125000000000 	    0.107812500000000 	    0.009302999988764 
   3.500000000000000 	    0.043750000000000 	    0.109375000000000 	    0.009078844110068 
   3.550000000000000 	    0.044375000000000 	    0.110937500000000 	    0.008864344838942 
   3.600000000000000 	    0.045000000000000 	    0.112500000000000 	    0.008658800974022 
   3.650000000000000 	    0.045625000000000 	    0.114062500000000 	    0.008461519249207 
   3.700000000000000 	    0.046250000000000 	    0.115625000000000 	    0.008271910917103 
   3.750000000000000 	    0.046875000000000 	    0.117187500000000 	    0.008089554211803 
   3.800000000000000 	    0.047500000000000 	    0.118750000000000 	    0.007914681926121 
   3.850000000000000 	    0.048125000000000 	    0.120312500000000 	    0.007747041593038 
   3.900000000000000 	    0.048750000000000 	    0.121875000000000 	    0.007586122983573 
   3.950000000000000 	    0.049375000000000 	    0.123437500000000 	    0.007431418179346 
   4.000000000000000 	    0.050000000000000 	    0.125000000000000 	    0.007282439359172 
   4.050000000000001 	    0.050625000000000 	    0.126562500000000 	    0.007138764633738 
   4.100000000000000 	    0.051250000000000 	    0.128125000000000 	    0.007000533380654 
   4.150000000000000 	    0.051875000000000 	    0.129687500000000 	    0.006867680645853 
   4.200000000000000 	    0.052500000000000 	    0.131250000000000 	    0.006739859705313 
   4.250000000000000 	    0.053125000000000 	    0.132812500000000 	    0.006616686581448 
   4.300000000000001 	    0.053750000000000 	    0.134375000000000 	    0.006497805822766 
   4.350000000000000 	    0.054375000000000 	    0.135937500000000 	    0.006382908703097 
   4.400000000000000 	    0.055000000000000 	    0.137500000000000 	    0.006271982514281 
