           halfwidth 	                   dw 	                kappa 	                g2(0) 
   1.000000000000000 	    0.012500000000000 	    0.031250000000000 	    1.507417114904350 
   1.050000000000000 	    0.013125000000000 	    0.032812500000000 	    1.485728356948190 
   1.100000000000000 	    0.013750000000000 	    0.034375000000000 	    1.465719465698070 
   1.150000000000000 	    0.014375000000000 	    0.035937500000000 	    1.447214214270590 
   1.200000000000000 	    0.015000000000000 	    0.037500000000000 	    1.430058897561630 
   1.250000000000000 	    0.015625000000000 	    0.039062500000000 	    1.414119088782380 
   1.300000000000000 	    0.016250000000000 	    0.040625000000000 	    1.399276889354280 
   1.350000000000000 	    0.016875000000000 	    0.042187500000000 	    1.385428599886430 
   1.400000000000000 	    0.017500000000000 	    0.043750000000000 	    1.372482747769500 
   1.450000000000000 	    0.018125000000000 	    0.045312500000000 	    1.360358415390640 
   1.500000000000000 	    0.018750000000000 	    0.046875000000000 	    1.348983821128060 
   1.550000000000000 	    0.019375000000000 	    0.048437500000000 	    1.338295112677340 
   1.600000000000000 	    0.020000000000000 	    0.050000000000000 	    1.328235338734870 
   1.650000000000000 	    0.020625000000000 	    0.051562500000000 	    1.318753570616410 
   1.700000000000000 	    0.021250000000000 	    0.053125000000000 	    1.309804150082760 
   1.750000000000000 	    0.021875000000000 	    0.054687500000000 	    1.301346043581940 
   1.800000000000000 	    0.022500000000000 	    0.056250000000000 	    1.293342286399690 
   1.850000000000000 	    0.023125000000000 	    0.057812500000000 	    1.285759502938860 
   1.900000000000000 	    0.023750000000000 	    0.059375000000000 	    1.278567491608770 
   1.950000000000000 	    0.024375000000000 	    0.060937500000000 	    1.271738864684790 
   2.000000000000000 	    0.025000000000000 	    0.062500000000000 	    1.265248735050190 
   2.050000000000000 	    0.025625000000000 	    0.064062500000000 	    1.259074443026070 
   2.100000000000000 	    0.026250000000000 	    0.065625000000000 	    1.253195317562790 
   2.150000000000000 	    0.026875000000000 	    0.067187500000000 	    1.247592466962550 
   2.200000000000000 	    0.027500000000000 	    0.068750000000000 	    1.242248595042020 
   2.250000000000000 	    0.028125000000000 	    0.070312500000000 	    1.237147839267240 
   2.300000000000000 	    0.028750000000000 	    0.071875000000000 	    1.232275627909590 
   2.350000000000000 	    0.029375000000000 	    0.073437500000000 	    1.227618553710270 
   2.400000000000000 	    0.030000000000000 	    0.075000000000000 	    1.223164261903470 
   2.450000000000000 	    0.030625000000000 	    0.076562500000000 	    1.218901350759290 
   2.500000000000000 	    0.031250000000000 	    0.078125000000000 	    1.214819283066160 
   2.550000000000000 	    0.031875000000000 	    0.079687500000000 	    1.210908307194030 
   2.600000000000000 	    0.032500000000000 	    0.081250000000000 	    1.207159386565260 
   2.650000000000000 	    0.033125000000000 	    0.082812500000000 	    1.203564136520920 
   2.700000000000000 	    0.033750000000000 	    0.084375000000000 	    1.200114767703290 
   2.750000000000000 	    0.034375000000000 	    0.085937500000000 	    1.196804035193510 
   2.800000000000000 	    0.035000000000000 	    0.087500000000000 	    1.193625192740360 
   2.850000000000000 	    0.035625000000000 	    0.089062500000000 	    1.190571951502590 
   2.900000000000000 	    0.036250000000000 	    0.090625000000000 	    1.187638442799210 
   2.950000000000000 	    0.036875000000000 	    0.092187500000000 	    1.184819184425920 
   3.000000000000000 	    0.037500000000000 	    0.093750000000000 	    1.182109050149820 
   3.050000000000000 	    0.038125000000000 	    0.095312500000000 	    1.179503242041520 
   3.100000000000000 	    0.038750000000000 	    0.096875000000000 	    1.176997265344920 
   3.150000000000000 	    0.039375000000000 	    0.098437500000000 	    1.174586905619460 
   3.200000000000000 	    0.040000000000000 	    0.100000000000000 	    1.172268207922290 
   3.250000000000000 	    0.040625000000000 	    0.101562500000000 	    1.170037457822370 
   3.300000000000000 	    0.041250000000000 	    0.103125000000000 	    1.167891164063630 
   3.350000000000000 	    0.041875000000000 	    0.104687500000000 	    1.165826042714350 
   3.400000000000000 	    0.042500000000000 	    0.106250000000000 	    1.163839002658060 
   3.450000000000000 	    0.043125000000000 	    0.107812500000000 	    1.161927132296490 
   3.500000000000000 	    0.043750000000000 	    0.109375000000000 	    1.160087687350300 
   3.550000000000000 	    0.044375000000000 	    0.110937500000000 	    1.158318079654000 
   3.600000000000000 	    0.045000000000000 	    0.112500000000000 	    1.156615866853680 
   3.650000000000000 	    0.045625000000000 	    0.114062500000000 	    1.154978742924550 
   3.700000000000000 	    0.046250000000000 	    0.115625000000000 	    1.153404529435130 
   3.750000000000000 	    0.046875000000000 	    0.117187500000000 	    1.151891167490640 
   3.800000000000000 	    0.047500000000000 	    0.118750000000000 	    1.150436710296810 
   3.850000000000000 	    0.048125000000000 	    0.120312500000000 	    1.149039316289480 
   3.900000000000000 	    0.048750000000000 	    0.121875000000000 	    1.147697242781770 
   3.950000000000000 	    0.049375000000000 	    0.123437500000000 	    1.146408840084710 
   4.000000000000000 	    0.050000000000000 	    0.125000000000000 	    1.145172546062050 
   4.050000000000001 	    0.050625000000000 	    0.126562500000000 	    1.143986881082360 
   4.100000000000000 	    0.051250000000000 	    0.128125000000000 	    1.142850443336910 
   4.150000000000000 	    0.051875000000000 	    0.129687500000000 	    1.141761904492240 
   4.200000000000000 	    0.052500000000000 	    0.131250000000000 	    1.140720005651940 
   4.250000000000000 	    0.053125000000000 	    0.132812500000000 	    1.139723553601250 
   4.300000000000001 	    0.053750000000000 	    0.134375000000000 	    1.138771417313380 
   4.350000000000000 	    0.054375000000000 	    0.135937500000000 	    1.137862524695270 
   4.400000000000000 	    0.055000000000000 	    0.137500000000000 	    1.136995859555040 
